"Data Source","World Development Indicators",

"Last Updated Date","2019-10-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Bangladesh","BGD","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","102","133","104","123","104","96","77","98","109","76","76","77","89","71","89","156","131","119","184","200","248","236","246","260","268","294","288","270","278","275","276","269","287","243","249","299","267","241","",
"Bulgaria","BGR","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","804","871","717","728","738","248","211","311","253","267","331","326","351","152","531","363","407","538","524","616","709","785","735","680","133","52","48","28","22","24","17","21","14","15","16","11","11","23","",
"Bahrain","BHR","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","47","28","41","28","65","16","20","","","","","","31","","","","","","","","","","","","","","","","","","","139","161","167","199","185","171","237","",
"Bahamas, The","BHS","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","51","50","","38","42","37","","32","","25","27","29","","","","","","","","","","","","","","","","","","","","83","75","113","68","34","48","",
"Bosnia and Herzegovina","BIH","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105","242","309","","242","346","306","162","","12","","9","12","14","22","2","","6","12","",
"Belarus","BLR","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","666","1005","415","361","414","79","345","204","214","379","298","200","296","337","257","220","173","174","146","190","145","105","148","66","90","",
"Belize","BLZ","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","33","41","48","54","","","49","51","32","36","26","37","","",
"Bermuda","BMU","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","117","120","89","70","54","41","","","","","","","","62","89","106","","","","","","","","","","","","","","","","","","","294","","241","277","",
"Brazil","BRA","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","6228","6113","5562","4900","4657","4565","4413","4702","4546","4657","5148","4625","4374","4221","4228","4741","5446","13479","13546","14693","14104","14410","13204","12545","12669","14444","15886","17469","18890","18135","20771","23954","25637","25925","25683","25578","22810","20178","",
"Barbados","BRB","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","44","38","","","35","","","","","","","","","","","","","","","68","","85","93","121","80","76","44","109","84","79","88","71","36","39","38","45","41","","",
"Brunei Darussalam","BRN","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88","41","42","21","42","32","34","21","21","21","43","31","26","41","64","75","42","","","11","15","91","","","99","",
"Bhutan","BTN","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","4","","7","1","3","",
"Botswana","BWA","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","18","34","29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","9","1","5","5","6","4","",
"Central African Republic","CAF","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","22699","23267","23883","23690","24709","25482","25596","26598","28869","32060","24375","21097","22950","23307","24683","24161","24987","25238","30163","33189","35435","35753","35782","33299","32970","34705","36516","35133","37028","32410","30899","30357","30533","30174","31283","32687","30667","30969","",
"Central Europe and the Baltics","CEB","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","4745","4268","3904","3528","3599","2928","2755","3001","2826","2967","3926","3573","5364","8566","8606","8766","9041","12491","12916","16331","17805","17322","18698","14807","9533","6308","1467","1003","768","606","547","542","631","499","495","434","405","413","",
"Switzerland","CHE","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","5613","4430","3637","3038","2714","2281","1954","1764","1556","1371","1081","893","903","874","892","830","718","620","564","535","468","594","466","396","434","455","362","342","439","394","533","446","1508","631","568","446","309","291","",
"Channel Islands","CHI","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","685","744","665","647","602","550","592","621","622","682","642","838","949","1179","1418","1535","1771","2411","2568","2608","2879","2504","2147","2076","2485","2646","2924","3403","3421","1374","748","2453","2683","2732","2653","2831","2521","2469","",
"China","CHN","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","4493","4515","4084","4872","4910","4305","4051","4387","7534","7876","8688","11114","12102","33645","34418","26560","33412","40426","48548","64598","79842","88183","92101","95259","85508","98111","110583","117464","120200","127042","133612","133522","135885","",
"Cote d'Ivoire","CIV","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","",
"Cameroon","CMR","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Dem. Rep.","COD","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","100","74","93","66","86","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Rep.","COG","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","81","","55","","","","","","21","15","27","","","","","","","","","","","","","","","","","","","","","","",
"Colombia","COL","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","335","604","","527","471","441","404","532","420","516","","527","575","769","867","1093","1172","1497","1670","1615","1694","432","858","1127","1365","1662","1861","1862","1818","1551","1739","1770","1848","1781","1898","1921","1658","1777","",
"Comoros","COM","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Costa Rica","CRI","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","85","91","61","74","","","54","33","38","27","41","","","91","","","","","","","","","","","","","","","","","606","630","600","582","552","584","496","504","",
"Caribbean small states","CSS","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","143","","","","","","","","","403","","","362","373","495","631","539","","","","514","481","552","410","356","319","",
"Cuba","CUB","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","70","58","39","31","28","","","","","","26","24","19","13","31","33","40","31","","127","","","","","","180","163","210","189","172","","184","140","143","126","","163","145","",
"Curacao","CUW","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","66","34","38","46","54","43","30","","","","43","53","57","","","","","","","","","","","85","85","44","","16","10","6","4","8","8","1","","1","1","4","",
"Czech Republic","CZE","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2040","2593","2893","3247","3661","3771","4204","4384","4184","5031","2954","629","244","195","192","142","92","114","97","150","97","62","72","47","66","",
"Germany","DEU","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","19900","16738","17158","15445","13225","12180","10945","9933","9332","9168","8605","7784","7404","6995","7261","8055","9511","11291","10843","9502","10406","10486","10589","10663","10786","11855","12573","13139","13177","11724","12198","12458","14720","15814","17811","19509","19419","19927","",
"Djibouti","DJI","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","4","","","","",
"Dominica","DMA","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","4605","4745","4706","4920","5312","5236","5386","4759","6124","4683","1843","370","361","254","176","250","196","218","166","131","140","188","169","153","138","165","188","197","195","131","142","197","229","193","206","270","298","282","",
"Dominican Republic","DOM","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","66","","","135","","","","","","","","","","","","","","","","","","","","","","","","","","264","256","245","231","257","269","",
"Algeria","DZA","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","349","340","320","278","345","","","","201","200","229","170","164","138","118","134","150","207","267","248","127","94","291","296","334","465","611","765","","","730","803","781","722","719","716","566","594","",
"East Asia & Pacific (excluding high income)","EAP","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","8724","7387","10300","9094","10558","10262","11369","14204","16661","18617","21719","28369","32138","50152","51590","45489","51367","54476","63559","81467","99806","107167","110515","116506","104553","115741","130605","135351","145727","155059","163352","162776","163675","",
"Early-demographic dividend","EAR","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","24414","24901","25600","","23555","19957","18947","19750","17971","20336","23635","24083","29111","29392","33658","32201","39371","47004","44800","41888","51293","52331","49234","46988","53527","64542","72816","82844","82710","70431","78109","80725","76766","81726","81510","87214","84700","82402","",
"East Asia & Pacific","EAS","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","47035","46687","52937","55111","59186","59681","56901","58663","58571","61892","96155","121769","141976","161025","160400","151653","182347","182559","187296","214046","243859","260199","270366","271580","239890","256588","276482","282803","301204","312922","322664","320693","321566","",
"Europe & Central Asia (excluding high income)","ECA","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10180","9689","11851","12699","14028","14219","14412","15759","16382","14656","14087","11253","13171","13901","16084","19283","16912","17880","19011","19071","20132","19905","19908","18134","17043","",
"Europe & Central Asia","ECS","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53644","47632","46804","50659","54119","59777","59066","63593","68488","66869","65595","61699","52641","52533","46859","48909","49237","42736","42527","44797","48906","50615","51881","53123","52725","52588","",
"Ecuador","ECU","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","152","180","122","112","96","","104","78","97","94","","75","84","100","335","270","354","302","","475","541","256","101","415","489","580","751","794","847","668","690","","","475","358","475","329","401","",
"Egypt, Arab Rep.","EGY","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","731","738","713","727","704","671","667","596","474","462","511","479","517","503","528","693","706","","1139","1146","1081","923","788","626","312","1008","","1589","1649","1452","1625","1591","1528","1416","1384","1337","1231","","",
"Euro area","EMU","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","80033","60447","55947","62563","47596","51977","40688","31708","38014","30901","28634","24455","21749","18673","17325","17294","19662","19698","18877","18911","20504","18971","18398","17949","16500","16811","18074","18056","17286","15559","16058","16820","19030","20358","21940","22930","23906","24727","",
"Eritrea","ERI","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","9001","8509","8555","8352","8916","9149","8581","2590","2209","2318","1079","746","561","563","537","553","524","496","476","506","484","467","371","367","313","313","316","265","252","207","213","196","209","218","225","221","177","176","",
"Estonia","EST","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","452","63","198","360","443","604","791","699","700","584","97","15","9","19","10","20","13","15","5","17","6","6","1","4","",
"Ethiopia","ETH","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","18","9","15","12","6","3","4","5","25","","","","","","","","","","","",
"European Union","EUU","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","116469","91834","84562","88767","72947","74756","61831","51582","58361","49458","44404","37456","35374","33365","33081","34429","37329","41225","40452","44038","47129","45093","46259","42656","36945","33634","28221","27110","25293","23125","23454","24728","27836","29108","30851","31905","33052","34418","",
"Fragile and conflict affected situations","FCS","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Finland","FIN","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","2734","2809","2907","3178","3408","3472","3627","3941","4084","4417","4410","2671","3953","2052","1842","1733","483","250","212","343","324","270","207","215","209","229","202","211","147","127","102","124","129","141","126","127","108","139","",
"Fiji","FJI","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","11","14","","","","18","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"France","FRA","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","16989","13723","11561","10029","8867","7543","6369","5875","5194","4986","4260","3908","3547","3402","3520","3477","3484","3637","3544","3282","3483","3605","3389","3339","3060","2948","2720","2387","1761","1593","1832","2099","2092","2196","2033","1994","2012","1832","",
"Faroe Islands","FRO","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Kingdom","GBR","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","22000","18406","16563","14798","13735","12293","11063","10419","9935","9637","8928","8357","7839","7922","8081","8891","9821","10171","10083","10399","10697","10658","10907","11198","10776","10155","8261","7624","6856","6480","6439","6916","7865","7966","7844","7934","8183","8771","",
"Georgia","GEO","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","210","178","159","420","173","205","229","190","186","221","204","171","208","250","299","316","241","218","179","260","233","219","187","172","178","157","",
"Ghana","GHA","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","17","19","18","14","","","15","16","","12","20","12","11","","39","","","","","","","","","","","","","","","","","","","","","","17","11","",
"Gibraltar","GIB","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gambia, The","GMB","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","4","",
"Guinea-Bissau","GNB","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Equatorial Guinea","GNQ","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Greece","GRC","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","1570","1843","1911","1936","2142","2035","1714","586","457","454","466","192","211","171","139","46","37","57","34","33","34","49","36","27","28","20","30","20","30","22","16","20","28","19","19","23","40","91","",
"Grenada","GRD","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26","33","17","9","17","","",
"Greenland","GRL","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","168","","115","92","106","76","82","75","97","104","79","94","99","77","142","175","218","267","250","285","293","296","266","388","500","99","306","322","374","327","337","319","288","341","266","275","",
"Guam","GUM","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","12","5","16","8","3","","","6","","","","","","","","","","","","","","","","","","","","","","14","16","19","13","18","23","",
"High income","HIC","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","233544","186043","180655","209756","204462","199104","191303","194093","211864","215800","208093","196997","202292","191758","205729","247357","270001","287512","295691","316133","335279","375860","373758","366136","383364","410033","438037","454249","457899","432746","453213","469110","492816","510346","526154","539913","544915","551643","",
"Hong Kong SAR, China","HKG","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","871","810","955","1027","1107","1056","886","1060","1076","1248","1186","1619","1938","2059","2359","14539","5998","8244","8840","9018","8995","9878","11607","13618","13606","13489","11708","11569","13312","12817","13690","12350","11973","13859","12975","",
"Honduras","HND","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","40","","183","24","19","16","","31","27","","17","","30","","","40","126","","","148","135","155","161","","","","","","","","","253","233","211","","224","185","189","",
"Heavily indebted poor countries (HIPC)","HPC","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Croatia","HRV","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1010","746","584","335","356","439","352","144","538","599","703","699","839","649","119","93","71","68","21","21","32","23","30","17","13","11","",
"Haiti","HTI","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","13","","24","15","11","15","20","9","4","","","5","","","","","6","","","5","","","","","","","","","","","","13","15","11","19","","","","",
"Hungary","HUN","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","1571","1528","1559","1530","1606","1531","1606","1630","1629","1666","1976","1799","1633","1323","1328","1793","850","888","904","3779","4127","4529","5064","4054","1909","497","206","102","89","30","47","36","66","66","73","64","49","36","",
"IBRD only","IBD","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","30994","28393","32405","29769","32893","36288","36982","55364","55145","60458","63879","79028","102543","119485","116523","119366","125710","127098","134071","157281","188729","201100","217671","229236","202330","221331","244668","253558","262639","271181","282469","273585","271319","",
"IDA & IBRD total","IBT","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","32136","29121","33051","30335","33323","37441","37813","56454","56517","62072","65274","80939","104392","121138","118661","121431","127979","129094","135856","159058","190658","203633","219900","231375","203081","223214","247628","256440","265801","273270","284465","275413","273276","",
"IDA total","IDA","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"IDA blend","IDB","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","931","","","","","","","","","","","","","","","","","","","","","2015","1913","2305","","","","","",
"Indonesia","IDN","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","475","","636","682","559","731","591","601","","661","","1280","3905","2031","2305","2813","3957","3939","1753","2784","3733","3714","3609","3099","3441","4069","4324","4850","4747","4103","5122","5297","","6787","7321","8095","8538","7032","",
"IDA only","IDX","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Isle of Man","IMN","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","1817","1834","1948","","2291","2493","2497","2520","2504","2600","2673","2328","2176","2511","3212","5021","6901","8229","6707","2620","6332","8213","8772","9188","13452","19661","23242","28922","30387","27025","30909","33450","34402","32362","30814","33079","31858","31621","",
"Not classified","INX","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","2355","2649","2676","2527","2721","2614","2678","2846","3174","3494","4001","3794","2203","229","198","150","134","144","123","118","155","150","68","77","58","75","97","78","76","53","59","67","63","57","58","190","85","86","",
"Iran, Islamic Rep.","IRN","Patent applications, nonresidents","IP.PAT.NRES","","","","","","","","","","","","","","","","","","","","","493","321","273","280","312","223","","165","173","170","173","165","175","164","131","129","227","115","159","177","206","302","285","355","356","443","557","502","552","516","528","489","432","338","119","","702","995","",
